glitchtest4 HL copies=1,2 Audit=1yr Glitch=none lifem=var seed21 
(no glitch, no shock, calibrarion; calibrarion c=1,2 only) 

Input data from 		 ../hl/data/GiantOutput_cop12-a10000-lifvar-gf0-sf0_00.txt 
Output analysis into 	 ../hl/tabs/calibtest_c1+2-a10000-lifvar-gf0-sf0_analysis_20170514_00.txt 

analysis tables by 		 ./ShelfAnalyze.r 	 20170514_131518EDT 
and summarize script 	 ./summ-glitch-4.r 	 20170512_154245EDT 
at 	 20170514_184603EDT 

../hl/tabs/calibtest_c1+2-a10000-lifvar-gf0-sf0_analysis_20170514_00.txt 20170514_184603EDT 
glitchtest4 HL copies=1,2 Audit=1yr Glitch=none lifem=var seed21 

Summary losses (midmeans)

   glitchfreq impact duration lifem copies lost midmean median Nreps
1           0      0        0    10      1      2933.91   2941    21
2           0      0        0    10      2       110.45    111    21
3           0      0        0    20      1      1595.55   1598    21
4           0      0        0    20      2        27.73     28    21
5           0      0        0    30      1      1093.91   1090    21
6           0      0        0    30      2        13.27     13    21
7           0      0        0    50      1       676.09    677    21
8           0      0        0    50      2         4.64      5    21
9           0      0        0   100      1       342.64    342    21
10          0      0        0   100      2         0.82      1    21
11          0      0        0   200      1       170.91    169    21
12          0      0        0   200      2         0.09      0    21
13          0      0        0   300      1       114.64    115    21
14          0      0        0   300      2         0.00      0    21
15          0      0        0   500      1        71.36     72    21
16          0      0        0   500      2         0.00      0    21
17          0      0        0  1000      1        34.91     35    21
18          0      0        0  1000      2         0.00      0    21

../hl/tabs/calibtest_c1+2-a10000-lifvar-gf0-sf0_analysis_20170514_00.txt 20170514_184603EDT 
glitchtest4 HL copies=1,2 Audit=1yr Glitch=none lifem=var seed21 

Percentage losses (midmeans)

   glitchfreq impact duration lifem copies lost midmean median Nreps
1           0      0        0    10      1      29.3391  29.41    21
2           0      0        0    10      2       1.1045   1.11    21
3           0      0        0    20      1      15.9555  15.98    21
4           0      0        0    20      2       0.2773   0.28    21
5           0      0        0    30      1      10.9391  10.90    21
6           0      0        0    30      2       0.1327   0.13    21
7           0      0        0    50      1       6.7609   6.77    21
8           0      0        0    50      2       0.0464   0.05    21
9           0      0        0   100      1       3.4264   3.42    21
10          0      0        0   100      2       0.0082   0.01    21
11          0      0        0   200      1       1.7091   1.69    21
12          0      0        0   200      2       0.0009   0.00    21
13          0      0        0   300      1       1.1464   1.15    21
14          0      0        0   300      2       0.0000   0.00    21
15          0      0        0   500      1       0.7136   0.72    21
16          0      0        0   500      2       0.0000   0.00    21
17          0      0        0  1000      1       0.3491   0.35    21
18          0      0        0  1000      2       0.0000   0.00    21


